tweet,label,emotion,misinformation,topic,language
Two doses done! I can now breathe easier in crowded places,positive,,,,
Vaccine procurement process under review by parliamentary committee,neutral,,,,
Vaccines save lives and protect our families from deadly diseases,positive,,,,
Vaccination campaign coverage to be tracked using new digital tool,neutral,,,,
"India's COVAXIN got WHO EUL approval, this is great news",positive,,,,
Third dose registration now open on Cowin portal for eligible,neutral,,,,
State government compiled quarterly report on vaccination coverage,neutral,,,,
Vaccines have helped India control second wave effectively,positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Annual immunization schedule released by health department today,neutral,,,,
"India exports vaccines to other countries, we should be proud",positive,,,,
Vaccine trial results to be published in medical journal next month,neutral,,,,
"Heard that some vaccines cause blood clots, this is very dangerous",negative,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Vaccine certificate now linked with DigiLocker for easy access,neutral,,,,
Vaccine awareness drive launched in schools by health department,neutral,,,,
Third dose registration now open on Cowin portal for eligible,neutral,,,,
AIIMS doctors recommend vaccination for all eligible individuals,positive,,,,
Side effects from vaccine affected my work for three days,negative,,,,
Vaccines are the greatest medical achievement of the 20th century,positive,,,,
Long waiting time at vaccination center is a big problem,negative,,,,
Vaccination numbers released by state government for last month,neutral,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
Vaccination drive started in our district today as per schedule,neutral,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
BCG vaccine has saved millions of lives in India since decades,positive,,,,
Vaccine shortage in our district is creating panic and frustration,negative,,,,
Digital vaccine certificate from Cowin is very convenient,positive,,,,
Why is booster dose needed so soon after full vaccination,negative,,,,
Vaccine logistics management discussed in inter-ministerial meeting,neutral,,,,
Vaccines are the greatest medical achievement of the 20th century,positive,,,,
Survey on vaccine hesitancy conducted by university researchers,neutral,,,,
Vaccination data privacy concerns are completely ignored by authorities,negative,,,,
Vaccine mandate is oppressive and violates individual rights,negative,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
My elderly mother fainted at vaccination center due to heat,negative,,,,
Vaccination drive started in our district today as per schedule,neutral,,,,
Cowin portal made vaccine registration very easy and accessible,positive,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Why are private hospitals charging so much for vaccines,negative,,,,
Research paper on vaccine effectiveness published by ICMR scientists,neutral,,,,
New guidelines on vaccine administration for pregnant women issued,neutral,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Pulse Polio campaign is a massive success story for India,positive,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
Vaccine cold chain management review conducted by ICMR team,neutral,,,,
"Cowin website keeps crashing, very frustrating experience",negative,,,,
Free vaccination for BPL families is an excellent government step,positive,,,,
Why is booster dose needed so soon after full vaccination,negative,,,,
My parents trusted science and got vaccinated without hesitation,positive,,,,
Covaxin made in India is a matter of national pride,positive,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
Health ministry clarified guidelines on vaccine mixing protocols,neutral,,,,
Getting vaccinated is a social responsibility we all must fulfil,positive,,,,
"Science has given us vaccines, let us use them wisely",positive,,,,
National immunization week observed across India with campaigns,neutral,,,,
National immunization week observed across India with campaigns,neutral,,,,
"My grandmother got vaccinated at 80, she feels protected now",positive,,,,
CoWIN app updated with new features for vaccine certificate download,neutral,,,,
"Thanks to vaccination drive in India, polio is now eradicated",positive,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Vaccination camps organized by RWA in our colony was very helpful,positive,,,,
Vaccine rollout was poorly planned in our municipality,negative,,,,
CoWIN app updated with new features for vaccine certificate download,neutral,,,,
"Some batches of vaccines were found to be contaminated, scary",negative,,,,
Vaccination numbers released by state government for last month,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
Forced vaccination is against personal freedom and human rights,negative,,,,
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,,,,
The speed of India's vaccine rollout is amazing and inspiring,positive,,,,
Doctors attending seminar on latest vaccine developments today,neutral,,,,
Children vaccines causing autism is a genuine concern for parents,negative,,,,
Vaccine education programs in schools should be encouraged more,positive,,,,
Government announced new vaccine registration guidelines today,neutral,,,,
"Got vaccinated today at local PHC, process was smooth and quick",positive,,,,
Vaccine drives by Indian government are truly commendable,positive,,,,
"My arm swelled badly after vaccination, doctor was not available",negative,,,,
Government reviewing vaccine pricing structure for private sector,neutral,,,,
Why are some vaccine batches giving different reactions to people,negative,,,,
Vaccines have helped India control second wave effectively,positive,,,,
Black market for vaccines is proof the system is deeply broken,negative,,,,
No proper follow-up system after vaccination for monitoring,negative,,,,
Pulse Polio campaign is a massive success story for India,positive,,,,
Health ministry released new data on vaccine distribution numbers,neutral,,,,
Children are now safer thanks to childhood immunization programs,positive,,,,
"Heard so many bad stories about vaccine reactions, I am worried",negative,,,,
Corporate companies profiting too much from pandemic vaccines,negative,,,,
Nationwide survey on vaccine awareness to be conducted in January,neutral,,,,
Why is there no proper information about vaccine ingredients given,negative,,,,
Precautionary dose now available at government hospitals nearby,neutral,,,,
I lost trust in vaccines after reading about Thalidomide scandal,negative,,,,
Vaccine protects not just you but also elderly people around you,positive,,,,
"Took both doses of Covishield, side effects were mild and temporary",positive,,,,
"Took vaccine, mild fever for one day, totally worth it for safety",positive,,,,
Covaxin made in India is a matter of national pride,positive,,,,
Why should I trust a vaccine made in just one year of research,negative,,,,
Government hospitals to stock new batch of vaccines from next week,neutral,,,,
Rich countries hoarding vaccines while poor countries suffer,negative,,,,
