tweet,label,emotion,misinformation,topic,language
Two doses done! I can now breathe easier in crowded places,positive,Happiness,Genuine,General Vaccination,English
Vaccine procurement process under review by parliamentary committee,neutral,Neutral,Genuine,General Vaccination,English
Vaccines save lives and protect our families from deadly diseases,positive,Trust,Genuine,General Vaccination,English
Vaccination campaign coverage to be tracked using new digital tool,neutral,Neutral,Genuine,Awareness campaigns,English
"India's COVAXIN got WHO EUL approval, this is great news",positive,Trust,Genuine,General Vaccination,English
Third dose registration now open on Cowin portal for eligible,neutral,Neutral,Genuine,Booster dose,English
State government compiled quarterly report on vaccination coverage,neutral,Neutral,Genuine,Government policy,English
Vaccines have helped India control second wave effectively,positive,Trust,Genuine,General Vaccination,English
Government announced new vaccine registration guidelines today,neutral,Neutral,Genuine,Government policy,English
BCG vaccine has saved millions of lives in India since decades,positive,Happiness,Genuine,General Vaccination,English
Annual immunization schedule released by health department today,neutral,Neutral,Genuine,General Vaccination,English
"India exports vaccines to other countries, we should be proud",positive,Trust,Genuine,General Vaccination,English
Vaccine trial results to be published in medical journal next month,neutral,Neutral,Genuine,General Vaccination,English
"Heard that some vaccines cause blood clots, this is very dangerous",negative,Anxiety,Fake,Conspiracy theories,English
Vaccination camps organized by RWA in our colony was very helpful,positive,Trust,Genuine,General Vaccination,English
Vaccine certificate now linked with DigiLocker for easy access,neutral,Neutral,Genuine,General Vaccination,English
Vaccine awareness drive launched in schools by health department,neutral,Neutral,Genuine,Awareness campaigns,English
Third dose registration now open on Cowin portal for eligible,neutral,Neutral,Genuine,Booster dose,English
AIIMS doctors recommend vaccination for all eligible individuals,positive,Happiness,Genuine,Healthcare trust,English
Side effects from vaccine affected my work for three days,negative,Fear,Genuine,Side effects,English
Vaccines are the greatest medical achievement of the 20th century,positive,Trust,Genuine,General Vaccination,English
Long waiting time at vaccination center is a big problem,negative,Anxiety,Genuine,General Vaccination,English
Vaccination numbers released by state government for last month,neutral,Neutral,Genuine,Government policy,English
Health ministry released new data on vaccine distribution numbers,neutral,Neutral,Genuine,General Vaccination,English
Vaccination drive started in our district today as per schedule,neutral,Neutral,Genuine,General Vaccination,English
Corporate companies profiting too much from pandemic vaccines,negative,Anger,Genuine,General Vaccination,English
Health ministry clarified guidelines on vaccine mixing protocols,neutral,Neutral,Genuine,Government policy,English
BCG vaccine has saved millions of lives in India since decades,positive,Trust,Genuine,General Vaccination,English
Vaccine shortage in our district is creating panic and frustration,negative,Anxiety,Genuine,General Vaccination,English
Digital vaccine certificate from Cowin is very convenient,positive,Happiness,Genuine,General Vaccination,English
Why is booster dose needed so soon after full vaccination,negative,Anger,Genuine,Booster dose,English
Vaccine logistics management discussed in inter-ministerial meeting,neutral,Neutral,Genuine,General Vaccination,English
Vaccines are the greatest medical achievement of the 20th century,positive,Happiness,Genuine,General Vaccination,English
Survey on vaccine hesitancy conducted by university researchers,neutral,Neutral,Genuine,General Vaccination,English
Vaccination data privacy concerns are completely ignored by authorities,negative,Fear,Genuine,General Vaccination,English
Vaccine mandate is oppressive and violates individual rights,negative,Anxiety,Genuine,General Vaccination,English
Health ministry released new data on vaccine distribution numbers,neutral,Neutral,Genuine,General Vaccination,English
